machine_id,machine_count,avg_T_in,std_T_in,avg_T_out,std_T_out,avg_RPM,std_RPM,avg_Vibration,std_Vibration,cycle_time,throughput,energy_consumption,estimated_travel_distance,timestamp
machine_1,3,24.636,3.1674854380091477,392.51300000000003,30.31728947317026,19774.375,925.0724770984169,0.272,0.06660330322138686,8.85233,406.67259354316883,19.774375,100,1743930142.1906629
machine_2,3,25.547,2.9697509996631024,399.976,19.558422840300803,19531.951,655.1101687876629,0.261,0.1277066952042844,9.109160000000001,395.2065832634403,19.531951000000003,100,1743930142.19095
machine_3,3,25.625,5.1174842452126805,419.724,27.969896388796297,20726.636,1228.7960794875607,0.228,0.16209873534361705,9.32224,386.17328024165863,20.726636,100,1743930142.191228
machine_1,3,24.41,5.511121482965151,410.975,37.56032195016437,19691.076,1167.5232097838566,0.303,0.06870953354520754,8.99175,400.36700308616236,19.691076000000002,100,1743930142.317535
machine_2,3,25.988,3.0220185307175074,386.145,23.761658717353882,19818.953999999998,715.2974066945856,0.303,0.08532877591996735,9.059050000000001,397.3926625860327,19.818953999999998,100,1743930142.317915
machine_3,3,20.225,7.154016005014247,398.684,38.787041702094264,20214.034,592.372297600082,0.299,0.10444615837837215,8.03184,448.2160999223092,20.214034,100,1743930142.318291
machine_1,3,25.523333333333333,3.5648874066682983,398.12166666666667,30.388749243026698,19709.93833333333,876.321797855801,0.29833333333333334,0.08933395522171599,9.085883333333333,396.219043094324,19.709938333333334,100,1743930152.198317
machine_2,3,25.971666666666668,2.9276151652079467,395.43916666666667,22.297968688624728,19784.560833333333,823.167234127411,0.2658333333333333,0.11884572165440183,9.148725,393.49745456334074,19.784560833333334,100,1743930152.198516
machine_3,3,26.386666666666667,5.560220818956344,408.99583333333334,45.18166210944681,20466.471666666665,1449.924010875704,0.24333333333333335,0.15189543186752597,9.367291666666667,384.31599314992326,20.466471666666664,100,1743930152.198703
machine_1,3,24.671666666666667,5.081941612765298,409.6308333333333,34.74962001191123,19779.806666666667,1092.1587774932523,0.2966666666666667,0.06433419688539593,9.030641666666668,398.6427690169672,19.77980666666667,100,1743930152.325048
machine_2,3,25.990000000000002,2.7852797585401246,387.40166666666664,22.104634066688867,19684.5575,763.751285008466,0.29833333333333334,0.07924995618645826,9.072016666666666,396.82466779712706,19.6845575,100,1743930152.325372
machine_3,3,20.235,6.589179893330176,400.0175,36.012927568906875,20421.8825,822.248303273054,0.2841666666666667,0.10226259770262482,8.047175,447.3619624278086,20.4218825,100,1743930152.3257
machine_1,3,25.50857142857143,4.251517136174295,401.03857142857146,29.042115688659283,19711.735,820.5568915659836,0.2978571428571429,0.08444597355102014,9.112100000000002,395.07907068623035,19.711735,100,1743930162.204797
machine_2,3,26.649285714285714,3.179057506974836,401.3157142857143,26.07670216722903,19881.322857142855,798.9115118748272,0.2692857142857143,0.11196072562123137,9.343014285714286,385.3146200904878,19.881322857142855,100,1743930162.2049248
machine_3,3,26.60857142857143,5.230199200171001,412.51142857142855,43.45213916436317,20514.43857142857,1432.080948205179,0.24857142857142858,0.14166646658649337,9.446828571428572,381.08027183726057,20.51443857142857,100,1743930162.205044
machine_1,3,24.959285714285713,4.90643668239664,403.275,37.447600295040836,19927.000714285714,1073.662794180106,0.2907142857142857,0.06922677905821929,9.024607142857143,398.9093312332551,19.927000714285715,100,1743930162.330973
machine_2,3,26.38357142857143,2.772777377965116,392.64,24.156273660125166,19681.54642857143,710.0418277076269,0.2978571428571429,0.07866552806739714,9.203114285714285,391.17193248248265,19.68154642857143,100,1743930162.3310819
machine_3,3,20.32357142857143,6.116773901263939,399.9342857142857,33.35107317062905,20428.292857142857,790.3801222145179,0.2707142857142857,0.10088637779447628,8.064057142857143,446.42540798322005,20.428292857142857,100,1743930162.331189
machine_1,3,24.74875,4.887747276353392,402.25625,27.62737091070195,19764.235625,850.5624587219389,0.3175,0.09536115561380325,8.972312500000001,401.23435290511776,19.764235625,100,1743930172.212267
machine_2,3,26.945,3.09227869054521,396.368125,27.75429070854405,19770.24375,803.3893934129559,0.2675,0.10662434056068061,9.35268125,384.91635754185467,19.770243750000002,100,1743930172.2130492
machine_3,3,26.6275,5.143746810448586,414.931875,41.43560700332957,20364.81125,1397.6682272130743,0.25875,0.1356408400888169,9.47481875,379.9544978103143,20.36481125,100,1743930172.213591
machine_1,3,25.313125,4.686524190098137,398.328125,37.44555885194364,19994.981875,1024.3679410691425,0.29812500000000003,0.06765895635464679,9.045906250000002,397.97007624305184,19.994981875,100,1743930172.334442
machine_2,3,26.194375,2.6417086533861,394.01875,23.472101225444213,19624.38125,682.8883633680084,0.299375,0.07377912560473998,9.1790625,392.1969155346747,19.62438125,100,1743930172.3347468
machine_3,3,20.25875,5.765444339988029,399.74625000000003,31.833587190850796,20393.91125,744.9558450075663,0.27999999999999997,0.09943590900675671,8.049212500000001,447.24872153642355,20.393911250000002,100,1743930172.335062
