timestamp,machine,event,sensor_data
5.125053776113335,Machine_2,production,"{'temperature': 68.93, 'vibration': 0.76}"
6.3751465918455965,Machine_3,production,"{'temperature': 63.48, 'vibration': 0.48}"
6.3751465918455965,Machine_3,breakdown,
8.19713399228942,Machine_1,production,"{'temperature': 80.21, 'vibration': 0.12}"
10.249698491060007,Machine_3,repaired,
14.585951614637562,Machine_2,production,"{'temperature': 68.82, 'vibration': 0.63}"
16.446556181187034,Machine_1,production,"{'temperature': 92.23, 'vibration': 0.73}"
17.974405894076092,Machine_3,production,"{'temperature': 98.29, 'vibration': 0.4}"
17.974405894076092,Machine_3,breakdown,
19.618445413027867,Machine_2,production,"{'temperature': 93.9, 'vibration': 0.64}"
21.361271401409947,Machine_3,repaired,
22.22395368024594,Machine_1,production,"{'temperature': 98.92, 'vibration': 0.44}"
28.26710434649696,Machine_2,production,"{'temperature': 84.74, 'vibration': 0.88}"
29.04241185868345,Machine_3,production,"{'temperature': 61.83, 'vibration': 0.31}"
31.37097700151092,Machine_1,production,"{'temperature': 69.31, 'vibration': 0.19}"
34.44137174330159,Machine_3,production,"{'temperature': 74.59, 'vibration': 0.43}"
36.78996352757157,Machine_2,production,"{'temperature': 97.47, 'vibration': 0.68}"
39.54939922283292,Machine_1,production,"{'temperature': 89.17, 'vibration': 0.25}"
40.77626085354716,Machine_3,production,"{'temperature': 85.6, 'vibration': 0.6}"
42.645656768562056,Machine_2,production,"{'temperature': 91.04, 'vibration': 0.31}"
42.645656768562056,Machine_2,breakdown,
46.90746896079838,Machine_2,repaired,
49.497015976015895,Machine_1,production,"{'temperature': 68.44, 'vibration': 0.95}"
49.990520454496206,Machine_3,production,"{'temperature': 86.22, 'vibration': 0.46}"
53.2461733406769,Machine_2,production,"{'temperature': 70.6, 'vibration': 0.32}"
56.07040538000828,Machine_1,production,"{'temperature': 83.38, 'vibration': 0.91}"
57.2847797174332,Machine_3,production,"{'temperature': 99.9, 'vibration': 0.56}"
57.2847797174332,Machine_3,breakdown,
59.559881383291575,Machine_2,production,"{'temperature': 64.39, 'vibration': 0.66}"
60.47324521913214,Machine_3,repaired,
62.167009175794696,Machine_1,production,"{'temperature': 75.26, 'vibration': 1.0}"
65.79088374989192,Machine_3,production,"{'temperature': 94.43, 'vibration': 0.11}"
66.67068121729,Machine_2,production,"{'temperature': 81.48, 'vibration': 0.34}"
72.02240106386279,Machine_1,production,"{'temperature': 77.39, 'vibration': 0.51}"
72.22844208526938,Machine_2,production,"{'temperature': 70.54, 'vibration': 0.55}"
74.1994355950248,Machine_3,production,"{'temperature': 94.82, 'vibration': 0.37}"
81.40166576575376,Machine_1,production,"{'temperature': 66.11, 'vibration': 0.79}"
81.79158128199347,Machine_2,production,"{'temperature': 81.21, 'vibration': 0.1}"
82.24428665221566,Machine_3,production,"{'temperature': 97.16, 'vibration': 0.89}"
86.88896499392263,Machine_2,production,"{'temperature': 62.32, 'vibration': 0.89}"
88.78185727922897,Machine_3,production,"{'temperature': 79.44, 'vibration': 0.16}"
90.29479815890656,Machine_1,production,"{'temperature': 65.14, 'vibration': 0.53}"
92.31723225426202,Machine_2,production,"{'temperature': 94.9, 'vibration': 0.48}"
96.62008130360684,Machine_1,production,"{'temperature': 89.2, 'vibration': 0.28}"
97.61102942576392,Machine_3,production,"{'temperature': 86.0, 'vibration': 0.49}"
5.125053776113335,Machine_2,production,"{'temperature': 68.93, 'vibration': 0.76}"
6.3751465918455965,Machine_3,production,"{'temperature': 63.48, 'vibration': 0.48}"
6.3751465918455965,Machine_3,breakdown,
8.19713399228942,Machine_1,production,"{'temperature': 80.21, 'vibration': 0.12}"
10.249698491060007,Machine_3,repaired,
14.585951614637562,Machine_2,production,"{'temperature': 68.82, 'vibration': 0.63}"
16.446556181187034,Machine_1,production,"{'temperature': 92.23, 'vibration': 0.73}"
17.974405894076092,Machine_3,production,"{'temperature': 98.29, 'vibration': 0.4}"
17.974405894076092,Machine_3,breakdown,
19.618445413027867,Machine_2,production,"{'temperature': 93.9, 'vibration': 0.64}"
21.361271401409947,Machine_3,repaired,
22.22395368024594,Machine_1,production,"{'temperature': 98.92, 'vibration': 0.44}"
28.26710434649696,Machine_2,production,"{'temperature': 84.74, 'vibration': 0.88}"
29.04241185868345,Machine_3,production,"{'temperature': 61.83, 'vibration': 0.31}"
31.37097700151092,Machine_1,production,"{'temperature': 69.31, 'vibration': 0.19}"
34.44137174330159,Machine_3,production,"{'temperature': 74.59, 'vibration': 0.43}"
36.78996352757157,Machine_2,production,"{'temperature': 97.47, 'vibration': 0.68}"
39.54939922283292,Machine_1,production,"{'temperature': 89.17, 'vibration': 0.25}"
40.77626085354716,Machine_3,production,"{'temperature': 85.6, 'vibration': 0.6}"
42.645656768562056,Machine_2,production,"{'temperature': 91.04, 'vibration': 0.31}"
42.645656768562056,Machine_2,breakdown,
46.90746896079838,Machine_2,repaired,
49.497015976015895,Machine_1,production,"{'temperature': 68.44, 'vibration': 0.95}"
49.990520454496206,Machine_3,production,"{'temperature': 86.22, 'vibration': 0.46}"
53.2461733406769,Machine_2,production,"{'temperature': 70.6, 'vibration': 0.32}"
56.07040538000828,Machine_1,production,"{'temperature': 83.38, 'vibration': 0.91}"
57.2847797174332,Machine_3,production,"{'temperature': 99.9, 'vibration': 0.56}"
57.2847797174332,Machine_3,breakdown,
59.559881383291575,Machine_2,production,"{'temperature': 64.39, 'vibration': 0.66}"
60.47324521913214,Machine_3,repaired,
62.167009175794696,Machine_1,production,"{'temperature': 75.26, 'vibration': 1.0}"
65.79088374989192,Machine_3,production,"{'temperature': 94.43, 'vibration': 0.11}"
